FixID,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion,element,tabName,questionID,participantID,file
21,158.6439,190.0731,912131.2615,912206.278,75.0165,0.2982,tab-link-to_amazon-smart-shelfs.bpmn,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
22,162.0497,186.0092,912289.6025,912439.612,150.0095,0.349,tab-link-to_amazon-smart-shelfs.bpmn,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
23,620.5473,534.4449,912564.5585,912781.258,216.6995,0.2854,Activity_01xlj63,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
24,1005.3957,524.6201,912831.1835,913039.5045,208.321,0.4639,Participant_00lgubq,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
25,1004.7175,548.6397,913047.8625,913114.5055,66.643,0.2401,Participant_00lgubq,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
26,843.9062,978.625,913381.12,913447.7975,66.6775,0.1907,,,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
27,980.7355,747.7172,913839.4625,914047.717,208.2545,0.5116,Participant_00lgubq,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
28,1052.4398,549.6577,914156.033,914231.0245,74.9915,0.2343,Participant_00lgubq,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
29,1384.1133,553.9308,914431.0005,914572.704,141.7035,0.3249,Activity_0c92kcf,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
30,1483.6582,533.1783,914647.645,914805.9945,158.3495,0.4477,Event_0mahzsm,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
31,1896.246,435.8323,914980.9765,915205.94,224.9635,0.3903,DataStoreReference_0vdglse_label,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
