id,question,type,options,model-group
1,Does the process allow recording several shakes in the shelf while being moved by the robot?,multiple-choice,Yes;No;I don't know,1
2,Is it true that the speed of the robot can change only when the product is fragile?,multiple-choice,Yes;No;I don't know,1
3,It is possible to move the mortgage to main depot in an offline land registry system with no nominee bank,multiple-choice,True;False;I don't know,2
4,It is possible to move the mortgage to the main depot if the number of land registers is above 1,multiple-choice,True;False;I don't know,2
5,Cover sheets are required in an online land registry system,multiple-choice,True;False;I don't know,2
6,Is it possible to create a credit card without rating the customer?,multiple-choice,Yes;No;I don't know,3
7,Does the checking of the customer nationality on the sections list happen before evaluating the ID document,multiple-choice,Yes;No;I don't know,3
8,Is it possible to match ID data with customer data then read personal data from ID Copy,multiple-choice,Yes;No;I don't know,3
